condition,kind,round,wallMs,invocationCount,measurementDigest
ceiling-16000,ceiling,4,54.142,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,5,54.833,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,6,51.515,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,7,58.343,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,8,60.150,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,9,60.570,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,10,54.843,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,1,42.883,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,2,45.501,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,3,41.533,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,4,40.506,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,5,47.432,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,6,39.813,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,7,38.291,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,8,41.799,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,9,39.585,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,10,41.984,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,1,38.055,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,2,38.353,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,3,42.604,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,4,40.936,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,5,42.955,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,6,41.487,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,7,41.849,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-24000,ceiling,8,43.363,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
